Provinsi,Luas Panen (ha),Produktivitas (ku/ha),Produksi (ton)
ACEH,271750.20,55.55,1509456.00
SUMATERA UTARA,411462.10,50.76,2088584.00
SUMATERA BARAT,271883.10,50.52,1373532.00
RIAU,51054.04,41.83,213557.20
JAMBI,60539.59,45.88,277743.80
SUMATERA SELATAN,513378.20,54.06,2775069.00
BENGKULU,57151.84,49.27,281610.10
LAMPUNG,518256.10,51.87,2688160.00
KEP. BANGKA BELITUNG,15107.80,40.66,61425.07
KEP. RIAU,179.48,28.24,506.91
DKI JAKARTA,477.25,48.98,2337.77
JAWA BARAT,1662404.00,56.75,9433723.00
JAWA TENGAH,1688670.00,55.41,9356445.00
DI YOGYAKARTA,110927.20,50.64,561699.50
JAWA TIMUR,1693211.00,56.26,9526516.00
BANTEN,337240.70,53.04,1788583.00
BALI,112320.60,60.59,680601.60
NUSA TENGGARA BARAT,270092.90,53.79,1452945.00
NUSA TENGGARA TIMUR,183092.00,41.29,756049.90
KALIMANTAN BARAT,241478.60,30.28,731225.80
KALIMANTAN TENGAH,108226.80,31.78,343918.80
KALIMANTAN SELATAN,214908.90,38.13,819419.20
KALIMANTAN TIMUR,64970.01,36.85,239425.30
KALIMANTAN UTARA,8604.19,35.49,30533.59
SULAWESI UTARA,58195.56,41.88,243730.30
SULAWESI TENGAH,168993.20,44.05,744408.70
SULAWESI SELATAN,1038084.00,51.64,5360169.00
SULAWESI TENGGARA,118258.80,40.50,478958.00
GORONTALO,46823.47,51.29,240134.50
SULAWESI BARAT,69323.95,50.99,353513.30
MALUKU,23987.82,38.60,92601.06
MALUKU UTARA,6416.45,38.16,24486.03
PAPUA BARAT,5460.59,43.89,23963.92
PAPUA,49741.91,38.99,193943.50
